time,Dis Y(Dv),Dis Y Old(Dv),difference Dis Y,Dis X(Dh),loadcell Y (KN),loadcell X (KN),sigma Y (KN/M^2),newsigma Y (KN/M^2),round data
2025-02-20 12:31:39 , -0.002 , 0.0 , -0.002 , 0.0  , 81.122 , 70.778 , 81.122 , 0.0 ,1
2025-02-20 12:31:44 , -0.002 , -0.002 , 0.0 , -0.001  , 78.672 , 70.778 , 78.672 , 0.0 ,2
2025-02-20 12:31:49 , -0.002 , -0.002 , 0.0 , 0.001  , 78.672 , 70.778 , 78.672 , 0.0 ,3
2025-02-20 12:31:54 , -0.002 , -0.002 , 0.0 , 0.001  , 79.217 , 69.417 , 79.217 , 0.0 ,4
2025-02-20 12:31:59 , -0.003 , -0.002 , -0.001 , 0.001  , 97.456 , 73.5 , 97.456 , 0.0 ,5
2025-02-20 12:32:04 , -0.002 , -0.003 , 0.001 , 0.0  , 99.089 , 73.5 , 99.089 , 0.0 ,6
2025-02-20 12:32:09 , -0.002 , -0.002 , 0.0 , 0.0  , 98.817 , 73.5 , 98.817 , 98.817 ,7
Start Monotonic Test K = 200.0
2025-02-20 12:32:11 , -0.003 , -0.002 , -0.001 , -0.002  , 98.817 , 73.5 , 98.817 , 98.518 ,8
2025-02-20 12:32:11 , -0.003 , -0.003 , 0.0 , -0.002  , 98.817 , 73.5 , 98.817 , 98.817 ,9
2025-02-20 12:32:14 , -0.004 , -0.003 , -0.001 , -0.006  , 98.817 , 74.861 , 98.817 , 98.518 ,10
2025-02-20 12:32:15 , -0.004 , -0.004 , 0.0 , -0.006  , 98.817 , 74.861 , 98.817 , 98.817 ,11
2025-02-20 12:32:18 , -0.002 , -0.004 , 0.002 , -0.007  , 99.089 , 74.861 , 99.089 , 99.687 ,12
2025-02-20 12:32:18 , -0.002 , -0.002 , 0.0 , -0.007  , 99.089 , 74.861 , 99.089 , 99.089 ,13
2025-02-20 12:32:21 , -0.003 , -0.002 , -0.001 , -0.005  , 99.633 , 76.222 , 99.633 , 99.333 ,14
