time,Dis Y(Dv),Dis X(Dh),loadcell Y (KN),loadcell X (KN),sigma Y (KN/M^2),newsigma Y (KN/M^2)
2025-02-12 01:28:57 , 0.015 , -0.001 , 6.15 , 0.0 , 102.67 , 105.71
2025-02-12 01:28:58 , 0.011 , -0.002 , 6.15 , 0.0 , 102.5 , 101.69
2025-02-12 01:28:58 , 0.011 , -0.002 , 6.16 , 0.0 , 102.5 , 102.5
2025-02-12 01:28:59 , -0.004 , -0.001 , 6.21 , 0.0 , 103.5 , 100.448
2025-02-12 01:28:59 , -0.004 , -0.001 , 6.29 , 0.0 , 104.83 , 104.83
2025-02-12 01:29:00 , 0.003 , -0.007 , 6.25 , 0.01 , 104.17 , 105.599
2025-02-12 01:29:00 , 0.003 , -0.007 , 6.24 , 0.01 , 104.0 , 104.0
2025-02-12 01:29:01 , -0.003 , 0.003 , 6.24 , 0.01 , 104.0 , 102.776
2025-02-12 01:29:01 , -0.002 , -0.006 , 6.23 , 0.01 , 103.83 , 104.034
2025-02-12 01:29:02 , -0.011 , -0.002 , 6.22 , 0.01 , 103.83 , 101.996
2025-02-12 01:29:02 , -0.011 , -0.002 , 6.22 , 0.02 , 103.67 , 103.67
2025-02-12 01:29:03 , 0.002 , -0.003 , 6.22 , 0.03 , 103.67 , 106.318
2025-02-12 01:29:03 , -0.013 , 0.019 , 6.21 , 0.06 , 103.5 , 100.448
2025-02-12 01:29:04 , -0.013 , 0.019 , 6.22 , 0.07 , 103.67 , 103.67
2025-02-12 01:29:04 , -0.066 , 0.188 , 6.22 , 0.27 , 103.67 , 92.875
2025-02-12 01:29:05 , -0.085 , 0.27 , 6.22 , 0.32 , 103.67 , 99.8
2025-02-12 01:29:05 , -0.12 , 0.36 , 6.21 , 0.45 , 103.5 , 96.377
2025-02-12 01:29:06 , -0.151 , 0.446 , 6.13 , 0.56 , 102.17 , 95.903
2025-02-12 01:29:06 , -0.151 , 0.446 , 5.98 , 0.69 , 99.67 , 99.67
2025-02-12 01:29:07 , -0.196 , 0.539 , 5.84 , 0.86 , 99.67 , 90.685
2025-02-12 01:29:07 , -0.196 , 0.539 , 5.63 , 1.04 , 93.83 , 93.83
2025-02-12 01:29:08 , -0.219 , 0.63 , 5.58 , 1.09 , 93.0 , 88.561
2025-02-12 01:29:08 , -0.281 , 0.82 , 5.5 , 1.21 , 91.67 , 79.786
2025-02-12 01:29:09 , -0.32 , 0.92 , 5.44 , 1.28 , 90.67 , 83.234
2025-02-12 01:29:09 , -0.352 , 1.005 , 5.5 , 1.48 , 90.83 , 84.723
2025-02-12 01:29:10 , -0.352 , 1.005 , 5.48 , 1.55 , 91.33 , 91.33
2025-02-12 01:29:10 , -0.367 , 1.106 , 5.4 , 1.61 , 90.0 , 87.15
